,DRG,ID,Name,Adress,City,State,Zipcode,Region,Discharges,Average_Covered_Charges,Average_Total_Payments,Average_Medicare_Payments
9585,065 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W CC OR TPA IN 24 HRS,440185,TENNOVA HEALTHCARE-CLEVELAND,2305 CHAMBLISS AVE NW,CLEVELAND,TN,37311,TN - Chattanooga,15,36834.67,6153.07,4982.93
9586,065 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W CC OR TPA IN 24 HRS,440189,TENNOVA HEALTHCARE-REGIONAL JACKSON,367 HOSPITAL BLVD,JACKSON,TN,38305,TN - Jackson,15,43996.53,6083.6,5162.53
9587,065 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W CC OR TPA IN 24 HRS,440194,TRISTAR HENDERSONVILLE MEDICAL CENTER,355 NEW SHACKLE ISLAND RD,HENDERSONVILLE,TN,37075,TN - Nashville,14,49292.71,5798.29,4644.0
9588,065 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W CC OR TPA IN 24 HRS,440197,TRISTAR SOUTHERN HILLS MEDICAL CENTER,391 WALLACE RD,NASHVILLE,TN,37211,TN - Nashville,16,36605.94,6939.5,4418.06
9589,065 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W CC OR TPA IN 24 HRS,440227,TRISTAR STONECREST MEDICAL CENTER,200 STONECREST BOULEVARD,SMYRNA,TN,37167,TN - Nashville,11,28723.45,6441.73,5422.82
9590,065 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W CC OR TPA IN 24 HRS,440228,SAINT FRANCIS BARTLETT MEDICAL CENTER,2986 KATE BOND RD,BARTLETT,TN,38133,TN - Memphis,20,45023.55,6243.7,5185.9
11232,066 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W/O CC/MCC,440002,JACKSON-MADISON COUNTY GENERAL HOSPITAL,620 SKYLINE DRIVE,JACKSON,TN,38301,TN - Jackson,56,13912.89,4766.63,3436.75
11233,066 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W/O CC/MCC,440003,SUMNER REGIONAL MEDICAL CENTER,555 HARTSVILLE PIKE,GALLATIN,TN,37066,TN - Nashville,13,36376.31,4767.38,3157.23
11234,066 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W/O CC/MCC,440006,TRISTAR SKYLINE MEDICAL CENTER,3441 DICKERSON PIKE,NASHVILLE,TN,37207,TN - Nashville,25,39319.04,4961.24,3710.64
11235,066 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W/O CC/MCC,440012,WELLMONT BRISTOL REGIONAL MEDICAL CENTER,ONE MEDICAL PARK BLVD,BRISTOL,TN,37620,TN - Kingsport,29,17776.76,4186.86,3111.28
11236,066 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W/O CC/MCC,440015,THE UNIVERSITY OF TN MEDICAL CENTER,1924 ALCOA HIGHWAY,KNOXVILLE,TN,37920,TN - Knoxville,59,30767.07,5651.88,4376.85
11237,066 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W/O CC/MCC,440017,WELLMONT HOLSTON VALLEY MEDICAL CENTER,130 WEST RAVINE ROAD,KINGSPORT,TN,37662,TN - Kingsport,39,16502.9,4542.95,3110.82
11238,066 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W/O CC/MCC,440029,WILLIAMSON MEDICAL CENTER,4321 CAROTHERS PARKWAY,FRANKLIN,TN,37067,TN - Nashville,24,16721.71,3938.25,2794.25
11239,066 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W/O CC/MCC,440034,METHODIST MEDICAL CENTER OF OAK RIDGE,990 OAK RIDGE TURNPIKE BOX 529,OAK RIDGE,TN,37830,TN - Knoxville,11,10950.36,4113.18,2983.73
11240,066 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W/O CC/MCC,440035,GATEWAY MEDICAL CENTER,651 DUNLOP LANE,CLARKSVILLE,TN,37040,TN - Nashville,14,36442.5,4291.07,3136.79
11241,066 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W/O CC/MCC,440039,VANDERBILT UNIVERSITY HOSPITAL,1161 21ST AVENUE SOUTH,NASHVILLE,TN,37232,TN - Nashville,21,26041.48,7284.05,5368.24
11242,066 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W/O CC/MCC,440048,BAPTIST MEMORIAL HOSPITAL,6019 WALNUT GROVE ROAD,MEMPHIS,TN,38120,TN - Memphis,44,23215.59,5105.61,3653.32
11243,066 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W/O CC/MCC,440049,METHODIST HEALTHCARE MEMPHIS HOSPITALS,1265 UNION AVE SUITE 700,MEMPHIS,TN,38104,TN - Memphis,107,29801.04,6631.73,4420.71
11244,066 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W/O CC/MCC,440053,SAINT THOMAS RUTHERFORD HOSPITAL,1700 MEDICAL CENTER PARKWAY,MURFREESBORO,TN,37129,TN - Nashville,31,22487.58,4630.13,3461.35
11245,066 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W/O CC/MCC,440058,SOUTHERN TENNESSEE REGIONAL HLTH SYSTEM WINCHESTER,185 HOSPITAL ROAD,WINCHESTER,TN,37398,TN - Nashville,17,21308.18,4545.29,2919.65
11246,066 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W/O CC/MCC,440059,COOKEVILLE REGIONAL MEDICAL CENTER,1 MEDICAL CENTER BOULEVARD,COOKEVILLE,TN,38501,TN - Nashville,41,10803.1,4678.71,3084.27
11247,066 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W/O CC/MCC,440063,JOHNSON CITY MEDICAL CENTER,400 N STATE OF FRANKLIN RD,JOHNSON CITY,TN,37604,TN - Johnson City,23,20767.83,4848.17,3865.91
11248,066 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W/O CC/MCC,440072,TENNOVA HEALTHCARE-DYERSBURG REGIONAL,400 TICKLE ST,DYERSBURG,TN,38024,TN - Memphis,14,43010.43,4266.29,3292.0
11249,066 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W/O CC/MCC,440073,MAURY REGIONAL HOSPITAL,1224 TROTWOOD AVE,COLUMBIA,TN,38401,TN - Nashville,18,19909.78,4526.17,3423.28
11250,066 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W/O CC/MCC,440081,LECONTE MEDICAL CENTER,742 MIDDLECREEK ROAD,SEVIERVILLE,TN,37862,TN - Knoxville,14,17027.93,4428.57,3361.14
11251,066 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W/O CC/MCC,440082,SAINT THOMAS WEST HOSPITAL,"4220 HARDING RD, PO BOX 380",NASHVILLE,TN,37205,TN - Nashville,37,26438.08,4226.89,2709.86
11252,066 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W/O CC/MCC,440091,"MEMORIAL HEALTHCARE SYSTEM, INC",2525 DESALES AVE,CHATTANOOGA,TN,37404,TN - Chattanooga,41,23867.17,4005.78,2701.39
11253,066 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W/O CC/MCC,440104,ERLANGER MEDICAL CENTER,975 E 3RD ST,CHATTANOOGA,TN,37403,TN - Chattanooga,49,21252.57,6289.59,4724.29
11254,066 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W/O CC/MCC,440120,TENNOVA HEALTHCARE,900 EAST OAK HILL AVENUE,KNOXVILLE,TN,37917,TN - Knoxville,38,30394.18,4317.61,2821.39
11255,066 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W/O CC/MCC,440125,FORT SANDERS REGIONAL MEDICAL CENTER,1901 W CLINCH AVE,KNOXVILLE,TN,37916,TN - Knoxville,36,12069.11,4616.19,3430.5
11256,066 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W/O CC/MCC,440144,HARTON REGIONAL MEDICAL CENTER,1801 N JACKSON ST BOX 460,TULLAHOMA,TN,37388,TN - Nashville,17,27326.35,4485.47,3184.41
11257,066 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W/O CC/MCC,440150,TRISTAR SUMMIT MEDICAL CENTER,5655 FRIST BLVD,HERMITAGE,TN,37076,TN - Nashville,18,43592.72,4534.39,3304.11
11258,066 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W/O CC/MCC,440156,PARKRIDGE MEDICAL CENTER,2333 MCCALLIE AVE,CHATTANOOGA,TN,37404,TN - Chattanooga,13,27943.69,5754.69,4802.38
11259,066 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W/O CC/MCC,440161,TRISTAR CENTENNIAL MEDICAL CENTER,2300 PATTERSON STREET,NASHVILLE,TN,37203,TN - Nashville,28,39447.54,5154.21,4037.07
11260,066 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W/O CC/MCC,440173,PARKWEST MEDICAL CENTER,9352 PARK WEST BLVD,KNOXVILLE,TN,37923,TN - Knoxville,35,13713.63,4236.43,3085.83
11261,066 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W/O CC/MCC,440183,ST FRANCIS HOSPITAL,5959 PARK AVE,MEMPHIS,TN,38119,TN - Memphis,33,43337.42,5819.58,4191.0
11262,066 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W/O CC/MCC,440228,SAINT FRANCIS BARTLETT MEDICAL CENTER,2986 KATE BOND RD,BARTLETT,TN,38133,TN - Memphis,15,32042.4,4991.07,3387.93
11534,068 - NONSPECIFIC CVA & PRECEREBRAL OCCLUSION W/O INFARCT W/O MCC,440104,ERLANGER MEDICAL CENTER,975 E 3RD ST,CHATTANOOGA,TN,37403,TN - Chattanooga,13,22501.23,6815.62,5415.0
12840,069 - TRANSIENT ISCHEMIA,440002,JACKSON-MADISON COUNTY GENERAL HOSPITAL,620 SKYLINE DRIVE,JACKSON,TN,38301,TN - Jackson,52,15162.48,4379.92,3322.23
12841,069 - TRANSIENT ISCHEMIA,440003,SUMNER REGIONAL MEDICAL CENTER,555 HARTSVILLE PIKE,GALLATIN,TN,37066,TN - Nashville,11,33953.55,4488.27,2935.09
12842,069 - TRANSIENT ISCHEMIA,440006,TRISTAR SKYLINE MEDICAL CENTER,3441 DICKERSON PIKE,NASHVILLE,TN,37207,TN - Nashville,68,47207.75,4661.16,3522.69
12843,069 - TRANSIENT ISCHEMIA,440009,CUMBERLAND MEDICAL CENTER,421 S MAIN ST,CROSSVILLE,TN,38555,TN - Nashville,27,13371.22,4097.63,2987.41
12844,069 - TRANSIENT ISCHEMIA,440011,BLOUNT MEMORIAL HOSPITAL,907 E LAMAR ALEXANDER PARKWAY,MARYVILLE,TN,37804,TN - Knoxville,43,15933.67,3756.37,2675.09
12845,069 - TRANSIENT ISCHEMIA,440012,WELLMONT BRISTOL REGIONAL MEDICAL CENTER,ONE MEDICAL PARK BLVD,BRISTOL,TN,37620,TN - Kingsport,18,15920.06,4068.56,2958.33
12846,069 - TRANSIENT ISCHEMIA,440015,THE UNIVERSITY OF TN MEDICAL CENTER,1924 ALCOA HIGHWAY,KNOXVILLE,TN,37920,TN - Knoxville,33,26559.12,5330.45,4061.55
12847,069 - TRANSIENT ISCHEMIA,440017,WELLMONT HOLSTON VALLEY MEDICAL CENTER,130 WEST RAVINE ROAD,KINGSPORT,TN,37662,TN - Kingsport,19,16105.68,4149.26,2967.16
12848,069 - TRANSIENT ISCHEMIA,440034,METHODIST MEDICAL CENTER OF OAK RIDGE,990 OAK RIDGE TURNPIKE BOX 529,OAK RIDGE,TN,37830,TN - Knoxville,25,11481.0,3844.48,2847.04
12849,069 - TRANSIENT ISCHEMIA,440035,GATEWAY MEDICAL CENTER,651 DUNLOP LANE,CLARKSVILLE,TN,37040,TN - Nashville,25,33147.56,4105.36,2757.92
12850,069 - TRANSIENT ISCHEMIA,440046,TRISTAR HORIZON MEDICAL CENTER,111 HIGHWAY 70 EAST,DICKSON,TN,37055,TN - Nashville,11,33297.18,4096.73,2994.18
12851,069 - TRANSIENT ISCHEMIA,440048,BAPTIST MEMORIAL HOSPITAL,6019 WALNUT GROVE ROAD,MEMPHIS,TN,38120,TN - Memphis,58,27601.02,4709.1,3477.19
12852,069 - TRANSIENT ISCHEMIA,440049,METHODIST HEALTHCARE MEMPHIS HOSPITALS,1265 UNION AVE SUITE 700,MEMPHIS,TN,38104,TN - Memphis,82,24021.21,5855.56,4388.07
12853,069 - TRANSIENT ISCHEMIA,440053,SAINT THOMAS RUTHERFORD HOSPITAL,1700 MEDICAL CENTER PARKWAY,MURFREESBORO,TN,37129,TN - Nashville,24,22677.38,4528.88,3338.38
12854,069 - TRANSIENT ISCHEMIA,440059,COOKEVILLE REGIONAL MEDICAL CENTER,1 MEDICAL CENTER BOULEVARD,COOKEVILLE,TN,38501,TN - Nashville,37,12626.84,4381.73,2979.81
12855,069 - TRANSIENT ISCHEMIA,440063,JOHNSON CITY MEDICAL CENTER,400 N STATE OF FRANKLIN RD,JOHNSON CITY,TN,37604,TN - Johnson City,42,26039.12,4615.0,3541.29
12856,069 - TRANSIENT ISCHEMIA,440072,TENNOVA HEALTHCARE-DYERSBURG REGIONAL,400 TICKLE ST,DYERSBURG,TN,38024,TN - Memphis,20,47471.5,4072.05,3009.85
12857,069 - TRANSIENT ISCHEMIA,440082,SAINT THOMAS WEST HOSPITAL,"4220 HARDING RD, PO BOX 380",NASHVILLE,TN,37205,TN - Nashville,44,23711.86,3991.93,2866.32
12858,069 - TRANSIENT ISCHEMIA,440091,"MEMORIAL HEALTHCARE SYSTEM, INC",2525 DESALES AVE,CHATTANOOGA,TN,37404,TN - Chattanooga,47,24292.53,3771.55,2570.96
12859,069 - TRANSIENT ISCHEMIA,440104,ERLANGER MEDICAL CENTER,975 E 3RD ST,CHATTANOOGA,TN,37403,TN - Chattanooga,121,19370.09,5969.12,4700.54
12860,069 - TRANSIENT ISCHEMIA,440120,TENNOVA HEALTHCARE,900 EAST OAK HILL AVENUE,KNOXVILLE,TN,37917,TN - Knoxville,31,27798.16,3900.45,2657.13
12861,069 - TRANSIENT ISCHEMIA,440125,FORT SANDERS REGIONAL MEDICAL CENTER,1901 W CLINCH AVE,KNOXVILLE,TN,37916,TN - Knoxville,25,11190.2,4330.4,3185.28
12862,069 - TRANSIENT ISCHEMIA,440144,HARTON REGIONAL MEDICAL CENTER,1801 N JACKSON ST BOX 460,TULLAHOMA,TN,37388,TN - Nashville,17,27784.82,4161.94,3213.94
12863,069 - TRANSIENT ISCHEMIA,440150,TRISTAR SUMMIT MEDICAL CENTER,5655 FRIST BLVD,HERMITAGE,TN,37076,TN - Nashville,33,42891.76,5048.36,2974.94
12864,069 - TRANSIENT ISCHEMIA,440156,PARKRIDGE MEDICAL CENTER,2333 MCCALLIE AVE,CHATTANOOGA,TN,37404,TN - Chattanooga,17,27969.53,5635.94,4330.71
12865,069 - TRANSIENT ISCHEMIA,440161,TRISTAR CENTENNIAL MEDICAL CENTER,2300 PATTERSON STREET,NASHVILLE,TN,37203,TN - Nashville,28,35368.93,7491.36,3677.96
12866,069 - TRANSIENT ISCHEMIA,440173,PARKWEST MEDICAL CENTER,9352 PARK WEST BLVD,KNOXVILLE,TN,37923,TN - Knoxville,31,14500.77,4009.55,3219.61
12867,069 - TRANSIENT ISCHEMIA,440183,ST FRANCIS HOSPITAL,5959 PARK AVE,MEMPHIS,TN,38119,TN - Memphis,51,38855.53,5249.47,4010.76
12868,069 - TRANSIENT ISCHEMIA,440194,TRISTAR HENDERSONVILLE MEDICAL CENTER,355 NEW SHACKLE ISLAND RD,HENDERSONVILLE,TN,37075,TN - Nashville,18,33248.5,4328.06,3220.28
12869,069 - TRANSIENT ISCHEMIA,440228,SAINT FRANCIS BARTLETT MEDICAL CENTER,2986 KATE BOND RD,BARTLETT,TN,38133,TN - Memphis,25,33293.2,4539.08,3233.8
13454,070 - NONSPECIFIC CEREBROVASCULAR DISORDERS W MCC,440002,JACKSON-MADISON COUNTY GENERAL HOSPITAL,620 SKYLINE DRIVE,JACKSON,TN,38301,TN - Jackson,52,26493.67,9660.35,8984.42
13455,070 - NONSPECIFIC CEREBROVASCULAR DISORDERS W MCC,440006,TRISTAR SKYLINE MEDICAL CENTER,3441 DICKERSON PIKE,NASHVILLE,TN,37207,TN - Nashville,15,91348.87,9042.8,8445.6
13456,070 - NONSPECIFIC CEREBROVASCULAR DISORDERS W MCC,440009,CUMBERLAND MEDICAL CENTER,421 S MAIN ST,CROSSVILLE,TN,38555,TN - Nashville,13,16670.85,9559.38,8593.54
13457,070 - NONSPECIFIC CEREBROVASCULAR DISORDERS W MCC,440011,BLOUNT MEMORIAL HOSPITAL,907 E LAMAR ALEXANDER PARKWAY,MARYVILLE,TN,37804,TN - Knoxville,26,30664.27,7915.58,7154.35
13458,070 - NONSPECIFIC CEREBROVASCULAR DISORDERS W MCC,440012,WELLMONT BRISTOL REGIONAL MEDICAL CENTER,ONE MEDICAL PARK BLVD,BRISTOL,TN,37620,TN - Kingsport,16,42545.81,10708.69,10168.5
13459,070 - NONSPECIFIC CEREBROVASCULAR DISORDERS W MCC,440015,THE UNIVERSITY OF TN MEDICAL CENTER,1924 ALCOA HIGHWAY,KNOXVILLE,TN,37920,TN - Knoxville,46,39288.46,10803.0,9658.93
13460,070 - NONSPECIFIC CEREBROVASCULAR DISORDERS W MCC,440017,WELLMONT HOLSTON VALLEY MEDICAL CENTER,130 WEST RAVINE ROAD,KINGSPORT,TN,37662,TN - Kingsport,14,28678.79,8406.07,7692.36
13461,070 - NONSPECIFIC CEREBROVASCULAR DISORDERS W MCC,440030,MORRISTOWN HAMBLEN HOSPITAL ASSOCIATION,908 W 4TH NORTH ST,MORRISTOWN,TN,37814,TN - Knoxville,18,16899.28,7749.22,6540.89
13462,070 - NONSPECIFIC CEREBROVASCULAR DISORDERS W MCC,440034,METHODIST MEDICAL CENTER OF OAK RIDGE,990 OAK RIDGE TURNPIKE BOX 529,OAK RIDGE,TN,37830,TN - Knoxville,19,25659.53,8147.89,7425.37
13463,070 - NONSPECIFIC CEREBROVASCULAR DISORDERS W MCC,440039,VANDERBILT UNIVERSITY HOSPITAL,1161 21ST AVENUE SOUTH,NASHVILLE,TN,37232,TN - Nashville,19,55504.79,13063.89,11820.79
13464,070 - NONSPECIFIC CEREBROVASCULAR DISORDERS W MCC,440048,BAPTIST MEMORIAL HOSPITAL,6019 WALNUT GROVE ROAD,MEMPHIS,TN,38120,TN - Memphis,26,49641.04,9815.04,9146.73
13465,070 - NONSPECIFIC CEREBROVASCULAR DISORDERS W MCC,440049,METHODIST HEALTHCARE MEMPHIS HOSPITALS,1265 UNION AVE SUITE 700,MEMPHIS,TN,38104,TN - Memphis,53,36661.17,11731.4,10139.77
13466,070 - NONSPECIFIC CEREBROVASCULAR DISORDERS W MCC,440059,COOKEVILLE REGIONAL MEDICAL CENTER,1 MEDICAL CENTER BOULEVARD,COOKEVILLE,TN,38501,TN - Nashville,27,17979.48,8675.41,7840.3
13467,070 - NONSPECIFIC CEREBROVASCULAR DISORDERS W MCC,440063,JOHNSON CITY MEDICAL CENTER,400 N STATE OF FRANKLIN RD,JOHNSON CITY,TN,37604,TN - Johnson City,11,39099.64,8996.18,8427.45
13468,070 - NONSPECIFIC CEREBROVASCULAR DISORDERS W MCC,440082,SAINT THOMAS WEST HOSPITAL,"4220 HARDING RD, PO BOX 380",NASHVILLE,TN,37205,TN - Nashville,19,45873.74,8773.21,7936.32
13469,070 - NONSPECIFIC CEREBROVASCULAR DISORDERS W MCC,440091,"MEMORIAL HEALTHCARE SYSTEM, INC",2525 DESALES AVE,CHATTANOOGA,TN,37404,TN - Chattanooga,29,32070.38,8154.07,7297.24
13470,070 - NONSPECIFIC CEREBROVASCULAR DISORDERS W MCC,440104,ERLANGER MEDICAL CENTER,975 E 3RD ST,CHATTANOOGA,TN,37403,TN - Chattanooga,38,31123.16,11832.18,11094.82
13471,070 - NONSPECIFIC CEREBROVASCULAR DISORDERS W MCC,440125,FORT SANDERS REGIONAL MEDICAL CENTER,1901 W CLINCH AVE,KNOXVILLE,TN,37916,TN - Knoxville,35,30935.26,8923.23,7691.8
13472,070 - NONSPECIFIC CEREBROVASCULAR DISORDERS W MCC,440173,PARKWEST MEDICAL CENTER,9352 PARK WEST BLVD,KNOXVILLE,TN,37923,TN - Knoxville,17,20122.35,8439.0,7573.29
13966,071 - NONSPECIFIC CEREBROVASCULAR DISORDERS W CC,440002,JACKSON-MADISON COUNTY GENERAL HOSPITAL,620 SKYLINE DRIVE,JACKSON,TN,38301,TN - Jackson,23,18910.0,6102.52,4837.65
13967,071 - NONSPECIFIC CEREBROVASCULAR DISORDERS W CC,440006,TRISTAR SKYLINE MEDICAL CENTER,3441 DICKERSON PIKE,NASHVILLE,TN,37207,TN - Nashville,15,68356.4,6176.67,5180.4
13968,071 - NONSPECIFIC CEREBROVASCULAR DISORDERS W CC,440009,CUMBERLAND MEDICAL CENTER,421 S MAIN ST,CROSSVILLE,TN,38555,TN - Nashville,16,14575.88,5688.0,4911.5
13969,071 - NONSPECIFIC CEREBROVASCULAR DISORDERS W CC,440011,BLOUNT MEMORIAL HOSPITAL,907 E LAMAR ALEXANDER PARKWAY,MARYVILLE,TN,37804,TN - Knoxville,19,19028.32,4655.37,3791.16
13970,071 - NONSPECIFIC CEREBROVASCULAR DISORDERS W CC,440012,WELLMONT BRISTOL REGIONAL MEDICAL CENTER,ONE MEDICAL PARK BLVD,BRISTOL,TN,37620,TN - Kingsport,21,17459.43,5393.86,4500.14
13971,071 - NONSPECIFIC CEREBROVASCULAR DISORDERS W CC,440015,THE UNIVERSITY OF TN MEDICAL CENTER,1924 ALCOA HIGHWAY,KNOXVILLE,TN,37920,TN - Knoxville,106,26504.46,7080.16,5770.0
13972,071 - NONSPECIFIC CEREBROVASCULAR DISORDERS W CC,440017,WELLMONT HOLSTON VALLEY MEDICAL CENTER,130 WEST RAVINE ROAD,KINGSPORT,TN,37662,TN - Kingsport,11,22043.0,5474.0,4786.73
13973,071 - NONSPECIFIC CEREBROVASCULAR DISORDERS W CC,440030,MORRISTOWN HAMBLEN HOSPITAL ASSOCIATION,908 W 4TH NORTH ST,MORRISTOWN,TN,37814,TN - Knoxville,20,12520.8,5137.1,4261.7
13974,071 - NONSPECIFIC CEREBROVASCULAR DISORDERS W CC,440034,METHODIST MEDICAL CENTER OF OAK RIDGE,990 OAK RIDGE TURNPIKE BOX 529,OAK RIDGE,TN,37830,TN - Knoxville,24,15294.75,5044.25,4316.58
13975,071 - NONSPECIFIC CEREBROVASCULAR DISORDERS W CC,440039,VANDERBILT UNIVERSITY HOSPITAL,1161 21ST AVENUE SOUTH,NASHVILLE,TN,37232,TN - Nashville,13,36703.62,8304.15,7341.69
13976,071 - NONSPECIFIC CEREBROVASCULAR DISORDERS W CC,440048,BAPTIST MEMORIAL HOSPITAL,6019 WALNUT GROVE ROAD,MEMPHIS,TN,38120,TN - Memphis,31,27479.74,6183.61,5257.29
13977,071 - NONSPECIFIC CEREBROVASCULAR DISORDERS W CC,440049,METHODIST HEALTHCARE MEMPHIS HOSPITALS,1265 UNION AVE SUITE 700,MEMPHIS,TN,38104,TN - Memphis,30,25830.8,7884.77,6356.07
13978,071 - NONSPECIFIC CEREBROVASCULAR DISORDERS W CC,440059,COOKEVILLE REGIONAL MEDICAL CENTER,1 MEDICAL CENTER BOULEVARD,COOKEVILLE,TN,38501,TN - Nashville,22,11341.27,5520.14,4789.59
13979,071 - NONSPECIFIC CEREBROVASCULAR DISORDERS W CC,440063,JOHNSON CITY MEDICAL CENTER,400 N STATE OF FRANKLIN RD,JOHNSON CITY,TN,37604,TN - Johnson City,13,25085.0,5956.08,5000.38
13980,071 - NONSPECIFIC CEREBROVASCULAR DISORDERS W CC,440073,MAURY REGIONAL HOSPITAL,1224 TROTWOOD AVE,COLUMBIA,TN,38401,TN - Nashville,11,11675.91,5287.55,4608.27
13981,071 - NONSPECIFIC CEREBROVASCULAR DISORDERS W CC,440082,SAINT THOMAS WEST HOSPITAL,"4220 HARDING RD, PO BOX 380",NASHVILLE,TN,37205,TN - Nashville,20,24369.25,5398.4,3847.95
13982,071 - NONSPECIFIC CEREBROVASCULAR DISORDERS W CC,440091,"MEMORIAL HEALTHCARE SYSTEM, INC",2525 DESALES AVE,CHATTANOOGA,TN,37404,TN - Chattanooga,32,23011.56,5146.75,4210.0
13983,071 - NONSPECIFIC CEREBROVASCULAR DISORDERS W CC,440104,ERLANGER MEDICAL CENTER,975 E 3RD ST,CHATTANOOGA,TN,37403,TN - Chattanooga,46,20211.39,7434.13,6371.61
13984,071 - NONSPECIFIC CEREBROVASCULAR DISORDERS W CC,440125,FORT SANDERS REGIONAL MEDICAL CENTER,1901 W CLINCH AVE,KNOXVILLE,TN,37916,TN - Knoxville,31,14037.35,5519.97,4715.58
13985,071 - NONSPECIFIC CEREBROVASCULAR DISORDERS W CC,440173,PARKWEST MEDICAL CENTER,9352 PARK WEST BLVD,KNOXVILLE,TN,37923,TN - Knoxville,30,16452.37,5342.43,4299.83
13986,071 - NONSPECIFIC CEREBROVASCULAR DISORDERS W CC,440183,ST FRANCIS HOSPITAL,5959 PARK AVE,MEMPHIS,TN,38119,TN - Memphis,18,66512.83,7360.56,6364.06
14089,072 - NONSPECIFIC CEREBROVASCULAR DISORDERS W/O CC/MCC,440015,THE UNIVERSITY OF TN MEDICAL CENTER,1924 ALCOA HIGHWAY,KNOXVILLE,TN,37920,TN - Knoxville,19,30591.68,5160.16,4177.0
14090,072 - NONSPECIFIC CEREBROVASCULAR DISORDERS W/O CC/MCC,440048,BAPTIST MEMORIAL HOSPITAL,6019 WALNUT GROVE ROAD,MEMPHIS,TN,38120,TN - Memphis,12,22617.42,4599.58,3868.25
14091,072 - NONSPECIFIC CEREBROVASCULAR DISORDERS W/O CC/MCC,440104,ERLANGER MEDICAL CENTER,975 E 3RD ST,CHATTANOOGA,TN,37403,TN - Chattanooga,18,17526.56,5840.56,4940.33
14221,073 - CRANIAL & PERIPHERAL NERVE DISORDERS W MCC,440002,JACKSON-MADISON COUNTY GENERAL HOSPITAL,620 SKYLINE DRIVE,JACKSON,TN,38301,TN - Jackson,16,18477.31,7835.13,6954.69
14222,073 - CRANIAL & PERIPHERAL NERVE DISORDERS W MCC,440039,VANDERBILT UNIVERSITY HOSPITAL,1161 21ST AVENUE SOUTH,NASHVILLE,TN,37232,TN - Nashville,12,66253.08,12878.58,12462.25
14223,073 - CRANIAL & PERIPHERAL NERVE DISORDERS W MCC,440048,BAPTIST MEMORIAL HOSPITAL,6019 WALNUT GROVE ROAD,MEMPHIS,TN,38120,TN - Memphis,28,46126.61,8419.79,7707.68
14224,073 - CRANIAL & PERIPHERAL NERVE DISORDERS W MCC,440049,METHODIST HEALTHCARE MEMPHIS HOSPITALS,1265 UNION AVE SUITE 700,MEMPHIS,TN,38104,TN - Memphis,21,25708.29,10105.9,8555.43
14225,073 - CRANIAL & PERIPHERAL NERVE DISORDERS W MCC,440091,"MEMORIAL HEALTHCARE SYSTEM, INC",2525 DESALES AVE,CHATTANOOGA,TN,37404,TN - Chattanooga,14,25511.79,7033.64,6496.79
14226,073 - CRANIAL & PERIPHERAL NERVE DISORDERS W MCC,440150,TRISTAR SUMMIT MEDICAL CENTER,5655 FRIST BLVD,HERMITAGE,TN,37076,TN - Nashville,13,51527.92,7701.31,7026.23
